"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20INFORMATION%20SYSTEMS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,IEEE Communications Surveys and Tutorials,"4,172",9.220,0.020370,
2,MIS QUARTERLY,"11,320",5.384,0.011360,
3,JOURNAL OF INFORMATION TECHNOLOGY,"1,695",4.775,0.002680,
4,IEEE WIRELESS COMMUNICATIONS,"3,136",4.148,0.015250,
5,Journal of Cheminformatics,"1,299",3.949,0.005610,
6,Journal of Chemical Information and Modeling,"13,322",3.657,0.024020,
7,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"6,622",3.428,0.016830,
8,INFORMATION SCIENCES,"16,792",3.364,0.036970,
9,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,"3,818",3.025,0.003520,
10,Internet Research,"1,154",3.017,0.001100,
11,IEEE NETWORK,"1,628",2.899,0.006150,
12,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,"1,981",2.892,0.002540,
13,DATA MINING AND KNOWLEDGE DISCOVERY,"2,320",2.714,0.003700,
14,DECISION SUPPORT SYSTEMS,"5,886",2.604,0.011870,
15,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,"1,159",2.595,0.001280,
16,IEEE TRANSACTIONS ON MULTIMEDIA,"3,302",2.536,0.011940,
17,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"6,465",2.476,0.014320,
18,IEEE TRANSACTIONS ON MOBILE COMPUTING,"4,517",2.456,0.017090,
19,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,"6,148",2.452,0.009370,
19,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,"6,148",2.452,0.009370,
21,ACM Transactions on Intelligent Systems and Technology,"2,142",2.414,0.012930,
22,IEEE Transactions on Services Computing,738,2.365,0.003320,
23,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,"3,449",2.363,0.005960,
24,Enterprise Information Systems,428,2.269,0.001060,
25,Journal of Optical Communications and Networking,"1,328",2.183,0.005270,
26,INFORMATION & MANAGEMENT,"4,415",2.163,0.003170,
27,Electronic Commerce Research and Applications,"1,122",2.139,0.002300,
28,IEEE Systems Journal,"1,076",2.114,0.004440,
29,COMPUTER COMMUNICATIONS,"3,307",2.099,0.007990,
30,IEEE Journal of Biomedical and Health Informatics,779,2.093,0.003170,
31,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"3,556",2.065,0.005630,
32,Business & Information Systems Engineering,380,2.059,0.000760,
33,Journal of the Association for Information Science and Technology,453,1.864,0.001390,
34,IEEE PERVASIVE COMPUTING,"1,385",1.836,0.002410,
35,INFORMATION SYSTEMS,"1,269",1.832,0.002860,
36,JOURNAL OF THE ACM,"5,341",1.803,0.008060,
37,Journal of the Association for Information Systems,"1,372",1.790,0.001970,
38,Semantic Web,284,1.786,0.001270,
39,VLDB JOURNAL,"1,717",1.744,0.003640,
40,IEEE TRANSACTIONS ON INFORMATION THEORY,"27,366",1.737,0.054300,
41,Pervasive and Mobile Computing,"1,008",1.719,0.003290,
42,KNOWLEDGE AND INFORMATION SYSTEMS,"1,559",1.702,0.004930,
43,Ad Hoc Networks,"2,475",1.660,0.006990,
44,COMPUTERS & SECURITY,"1,515",1.640,0.002490,
45,IEEE Transactions on Dependable and Secure Computing,854,1.592,0.002960,
46,INFORMATION AND SOFTWARE TECHNOLOGY,"2,145",1.569,0.004290,
47,Journal of Grid Computing,505,1.561,0.001480,
48,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,383,1.539,0.001200,
49,MOBILE NETWORKS & APPLICATIONS,"1,087",1.538,0.002520,
50,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,"1,580",1.530,0.004270,
51,Cluster Computing-The Journal of Networks Software Tools and Applications,588,1.514,0.001300,
52,DATA & KNOWLEDGE ENGINEERING,"1,369",1.500,0.002150,
53,Personal and Ubiquitous Computing,"1,510",1.498,0.003380,
54,Mobile Information Systems,155,1.462,0.000470,
55,INFORMATION SYSTEMS FRONTIERS,"1,197",1.450,0.001540,
56,ACM Transactions on Sensor Networks,"1,059",1.448,0.003360,
57,Computer Networks,"5,642",1.446,0.013420,
58,MULTIMEDIA SYSTEMS,475,1.410,0.001210,
59,ACM SIGCOMM Computer Communication Review,"4,114",1.402,0.011600,
60,INFORMATION PROCESSING & MANAGEMENT,"2,296",1.397,0.002220,
61,INFORMATICA,343,1.386,0.000720,
62,IEEE MULTIMEDIA,605,1.361,0.001970,
