"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20BIOMEDICAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,Annual Review of Biomedical Engineering,"3,823",10.256,0.006450,
2,BIOMATERIALS,"95,025",8.387,0.148530,
3,Acta Biomaterialia,"20,966",6.008,0.053810,
4,Advanced Healthcare Materials,"3,173",5.760,0.011330,
5,Journal of Tissue Engineering and Regenerative Medicine,"2,862",4.710,0.007260,
6,Biofabrication,"1,216",4.702,0.003810,
7,MEDICAL IMAGE ANALYSIS,"4,764",4.565,0.010690,
8,EUROPEAN CELLS & MATERIALS,"2,798",4.560,0.006760,
9,IEEE TRANSACTIONS ON MEDICAL IMAGING,"13,784",3.756,0.024430,
10,Journal of Neural Engineering,"3,789",3.493,0.013450,
11,CLINICAL ORAL IMPLANTS RESEARCH,"11,968",3.464,0.016950,
12,Biomedical Materials,"2,230",3.361,0.004180,
13,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,"15,442",3.263,0.023580,
14,Biomechanics and Modeling in Mechanobiology,"1,975",3.032,0.006520,
15,Organogenesis,742,2.910,0.002440,
16,ANNALS OF BIOMEDICAL ENGINEERING,"8,405",2.887,0.017640,
17,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,"7,100",2.881,0.010770,
18,Journal of the Mechanical Behavior of Biomedical Materials,"4,277",2.876,0.014690,
19,PHYSICS IN MEDICINE AND BIOLOGY,"21,090",2.811,0.039780,
20,Regenerative Medicine,"1,496",2.602,0.003870,
21,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,"3,077",2.583,0.007620,
22,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,"14,781",2.468,0.024470,
23,LASERS IN MEDICAL SCIENCE,"3,607",2.461,0.007020,
24,JOURNAL OF BIOMECHANICS,"24,856",2.431,0.032710,
25,Journal of NeuroEngineering and Rehabilitation,"2,280",2.419,0.006790,
26,ASAIO JOURNAL,"2,376",2.291,0.005130,
27,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,"9,663",2.272,0.012060,
28,BIOMEDICAL MICRODEVICES,"2,722",2.227,0.005270,
29,ARTIFICIAL INTELLIGENCE IN MEDICINE,"1,503",2.142,0.002640,
30,ULTRASONIC IMAGING,967,2.111,0.000750,
31,Artificial Cells Nanomedicine and Biotechnology,290,2.024,0.000540,
32,IEEE Transactions on Biomedical Circuits and Systems,"1,307",2.018,0.006200,
33,ARTIFICIAL ORGANS,"3,221",1.993,0.004620,
34,JOURNAL OF BIOMATERIALS APPLICATIONS,"1,432",1.988,0.002760,
35,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,"3,898",1.862,0.007960,
36,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,"1,774",1.850,0.005270,
37,International Journal for Numerical Methods in Biomedical Engineering,776,1.849,0.004490,
38,International Journal of Computer Assisted Radiology and Surgery,"1,030",1.827,0.003160,
39,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,"4,283",1.797,0.005430,
40,Expert Review of Medical Devices,"1,270",1.762,0.002810,
41,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,"6,454",1.747,0.007410,
42,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,"3,618",1.733,0.003690,
43,Biomedical Engineering-Biomedizinische Technik,775,1.650,0.001720,
44,CLINICAL BIOMECHANICS,"7,061",1.636,0.009880,
45,MEDICAL ENGINEERING & PHYSICS,"4,617",1.619,0.008460,
46,PHYSIOLOGICAL MEASUREMENT,"3,560",1.576,0.005600,
47,Biomedical Signal Processing and Control,961,1.521,0.002410,
