"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20CIVIL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"1,935",5.288,0.003670,
2,JOURNAL OF HAZARDOUS MATERIALS,"69,992",4.836,0.097150,
3,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,"7,358",3.769,0.012740,
4,BUILDING AND ENVIRONMENT,"12,520",3.394,0.019030,
5,JOURNAL OF HYDROLOGY,"37,044",3.043,0.049510,
6,ENERGY AND BUILDINGS,"17,211",2.973,0.027920,
7,COASTAL ENGINEERING,"4,168",2.841,0.007790,
8,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"4,163",2.534,0.011500,
9,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,"3,692",2.521,0.004340,
10,JOURNAL OF COMPOSITES FOR CONSTRUCTION,"2,846",2.503,0.005280,
11,MATERIALS AND STRUCTURES,"4,952",2.453,0.008130,
12,AUTOMATION IN CONSTRUCTION,"3,543",2.442,0.007030,
13,WATER RESOURCES MANAGEMENT,"6,400",2.437,0.011290,
14,COMPUTERS & STRUCTURES,"10,168",2.425,0.013270,
15,CONSTRUCTION AND BUILDING MATERIALS,"18,061",2.421,0.041500,
16,EARTHQUAKE SPECTRA,"3,068",2.298,0.005060,
17,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,"3,204",2.279,0.007920,
18,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,869,2.246,0.001030,
19,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"2,297",2.237,0.005200,
20,Archives of Civil and Mechanical Engineering,749,2.194,0.002190,
21,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,"6,379",2.127,0.008000,
22,STRUCTURAL SAFETY,"1,929",2.086,0.003810,
23,Structural Control & Health Monitoring,"1,294",2.082,0.003150,
24,THIN-WALLED STRUCTURES,"4,518",2.063,0.008670,
25,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,"5,727",2.024,0.006060,
26,Journal of Hydro-environment Research,481,1.971,0.001870,
27,JOURNAL OF ENERGY ENGINEERING,404,1.895,0.000710,
28,ENGINEERING STRUCTURES,"11,921",1.893,0.026420,
29,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,"1,541",1.855,0.003340,
30,JOURNAL OF MANAGEMENT IN ENGINEERING,"1,138",1.840,0.001330,
31,STEEL AND COMPOSITE STRUCTURES,720,1.796,0.001360,
32,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,"2,632",1.741,0.004740,
33,MARINE STRUCTURES,"1,002",1.729,0.001800,
34,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,"4,987",1.702,0.009770,
35,JOURNAL OF STRUCTURAL ENGINEERING,"11,091",1.700,0.011270,
36,COLD REGIONS SCIENCE AND TECHNOLOGY,"2,777",1.693,0.004860,
37,IEEE JOURNAL OF OCEANIC ENGINEERING,"2,421",1.648,0.002840,
38,Road Materials and Pavement Design,871,1.547,0.002320,
39,TRANSPORTATION,"2,011",1.545,0.003910,
40,JOURNAL OF HYDROLOGIC ENGINEERING,"3,231",1.530,0.005780,
40,Journal of Civil Engineering and Management,776,1.530,0.002020,
42,OCEAN ENGINEERING,"4,738",1.488,0.009720,
