"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20MECHANICAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"7,884",16.784,0.012430,
2,INTERNATIONAL JOURNAL OF PLASTICITY,"8,723",5.623,0.017490,
3,COMBUSTION AND FLAME,"17,512",4.168,0.026220,
4,PROCEEDINGS OF THE COMBUSTION INSTITUTE,"11,217",4.120,0.017070,
5,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"4,858",3.851,0.012150,
6,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"8,456",3.315,0.007860,
7,APPLIED THERMAL ENGINEERING,"18,241",3.043,0.032090,
8,NONLINEAR DYNAMICS,"9,003",3.000,0.019190,
9,WIND ENERGY,"2,649",2.891,0.005560,
10,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,"33,642",2.857,0.046880,
11,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,560,2.852,0.001110,
12,Advances in Applied Mechanics,"1,096",2.833,0.000760,
13,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,"8,451",2.771,0.015860,
14,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,"6,956",2.769,0.016150,
15,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,"5,655",2.646,0.007450,
16,International Journal of Precision Engineering and Manufacturing-Green Technology,129,2.545,0.000320,
17,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,"6,930",2.481,0.011220,
18,Nanoscale and Microscale Thermophysical Engineering,240,2.390,0.000860,
19,WEAR,"18,563",2.323,0.017920,
20,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,"6,722",2.291,0.008400,
21,JOURNAL OF AEROSOL SCIENCE,"6,019",2.278,0.006160,
22,TRIBOLOGY INTERNATIONAL,"7,407",2.259,0.013780,
23,Archives of Civil and Mechanical Engineering,749,2.194,0.002190,
24,INTERNATIONAL JOURNAL OF FATIGUE,"7,296",2.162,0.011620,
25,EXPERIMENTAL THERMAL AND FLUID SCIENCE,"5,668",2.128,0.011480,
26,JOURNAL OF SOUND AND VIBRATION,"25,312",2.107,0.022930,
27,THEORETICAL AND APPLIED FRACTURE MECHANICS,"1,194",2.025,0.002100,
28,AEROSOL SCIENCE AND TECHNOLOGY,"5,712",1.953,0.008740,
29,JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,"5,775",1.939,0.008330,
30,International Journal of Mechanics and Materials in Design,329,1.926,0.001080,
31,MECHATRONICS,"2,450",1.871,0.005520,
32,DRYING TECHNOLOGY,"4,918",1.854,0.004150,
33,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,"2,897",1.838,0.003600,
34,TRIBOLOGY LETTERS,"3,802",1.758,0.008580,
35,INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,"4,811",1.737,0.007170,
36,JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,"9,831",1.723,0.010170,
37,JOURNAL OF FLUIDS AND STRUCTURES,"3,821",1.709,0.007200,
38,MECHANISM AND MACHINE THEORY,"4,221",1.689,0.006090,
39,JOURNAL OF VIBRATION AND CONTROL,"2,686",1.643,0.005430,
40,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,"2,645",1.571,0.003000,
41,EXPERIMENTS IN FLUIDS,"6,971",1.570,0.013530,
42,International Journal of Engine Research,846,1.479,0.002010,
43,ENGINEERING WITH COMPUTERS,647,1.460,0.001520,
44,JOURNAL OF MECHANICAL DESIGN,"4,470",1.444,0.005720,
45,INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,"2,618",1.432,0.003750,
46,TRIBOLOGY TRANSACTIONS,"2,347",1.418,0.003250,
47,JOURNAL OF ELECTRONIC PACKAGING,956,1.402,0.001040,
48,Lubrication Science,397,1.384,0.000690,
49,ENGINEERING FAILURE ANALYSIS,"2,768",1.358,0.005660,
50,RAPID PROTOTYPING JOURNAL,"1,360",1.352,0.001840,
51,JOURNAL OF ENGINEERING MECHANICS,"7,658",1.346,0.006270,
52,VEHICLE SYSTEM DYNAMICS,"2,462",1.306,0.003610,
53,EXPERIMENTAL HEAT TRANSFER,573,1.288,0.000500,
54,JOURNAL OF HYDRAULIC ENGINEERING,"7,275",1.284,0.005890,
55,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,"5,019",1.283,0.005240,
56,JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,"1,132",1.250,0.001660,
57,PROBABILISTIC ENGINEERING MECHANICS,"1,580",1.241,0.002970,
58,ATOMIZATION AND SPRAYS,920,1.235,0.001490,
59,Journal of Computational and Nonlinear Dynamics,729,1.223,0.002230,
60,Structure and Infrastructure Engineering,753,1.202,0.002520,
61,Mechanical Sciences,81,1.200,0.000620,
62,MACHINING SCIENCE AND TECHNOLOGY,529,1.172,0.000700,
63,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,"2,546",1.169,0.003880,
64,FLOW MEASUREMENT AND INSTRUMENTATION,"1,326",1.152,0.002310,
65,Smart Structures and Systems,761,1.138,0.001910,
66,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,265,1.107,0.000530,
67,International Journal of Precision Engineering and Manufacturing,"1,748",1.075,0.004690,
68,Iranian Journal of Science and Technology-Transactions of Mechanical Engineering,74,1.045,0.000210,
69,Journal of Mechanisms and Robotics-Transactions of the ASME,464,1.044,0.001990,
70,JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,"3,340",1.037,0.002630,
71,JOURNAL OF POROUS MEDIA,604,1.035,0.000980,
71,JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,"1,835",1.035,0.001780,
73,Engineering Applications of Computational Fluid Mechanics,334,1.033,0.001030,
74,International Journal of Structural Stability and Dynamics,609,1.028,0.001610,
75,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,"3,959",1.022,0.007040,
76,STRUCTURAL ENGINEERING AND MECHANICS,"1,504",1.021,0.002530,
77,HEAT TRANSFER ENGINEERING,"1,981",1.016,0.002900,
78,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS,350,1.000,0.000500,
79,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,"2,162",0.978,0.002980,
80,Journal of the Brazilian Society of Mechanical Sciences and Engineering,511,0.963,0.000880,
81,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,"2,193",0.935,0.001420,
82,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,"1,314",0.907,0.002730,
83,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,710,0.900,0.001730,
84,SHOCK AND VIBRATION,848,0.880,0.001630,
85,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,791,0.876,0.001890,
86,HVAC&R RESEARCH,"1,099",0.871,0.001970,
87,ACTA MECHANICA SINICA,"1,081",0.832,0.002880,
88,Latin American Journal of Solids and Structures,333,0.830,0.000810,
89,Journal of Engineering Thermophysics,160,0.812,0.000490,
90,Journal of Thermal Science and Engineering Applications,197,0.809,0.000730,
91,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,"1,541",0.802,0.002270,
92,International Journal of Spray and Combustion Dynamics,98,0.767,0.000500,
93,Journal of Mechanical Science and Technology,"2,842",0.761,0.006850,
94,INTERNATIONAL JOURNAL OF VEHICLE DESIGN,613,0.757,0.000720,
95,Journal of the Balkan Tribological Association,196,0.737,0.000100,
96,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,"2,097",0.730,0.004040,
97,EXPERIMENTAL TECHNIQUES,476,0.716,0.001000,
98,JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,669,0.711,0.001230,
99,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY,"1,278",0.689,0.001650,
100,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,656,0.680,0.000910,
101,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,388,0.677,0.001080,
102,JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,"2,730",0.661,0.004120,
103,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,899,0.653,0.002500,
104,Advances in Mechanical Engineering,911,0.640,0.003270,
105,International Journal of Optomechatronics,98,0.627,0.000300,
106,JOURNAL OF ENHANCED HEAT TRANSFER,312,0.562,0.000430,
107,Mechanics & Industry,198,0.559,0.000720,
108,Journal of Thermal Science,417,0.543,0.001150,
109,Chinese Journal of Mechanical Engineering,549,0.531,0.001250,
110,JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,"1,307",0.476,0.001710,
111,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,112,0.456,0.000370,
112,International Journal of Surface Science and Engineering,93,0.440,0.000230,
113,CHINA OCEAN ENGINEERING,285,0.435,0.000640,
114,INDUSTRIAL LUBRICATION AND TRIBOLOGY,322,0.406,0.000460,
115,Journal of Friction and Wear,264,0.400,0.000450,
116,Journal of Vibroengineering,388,0.384,0.001020,
117,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,366,0.341,0.000570,
118,TRANSACTIONS OF THE CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,202,0.333,0.000460,
119,Journal of Advanced Mechanical Design Systems and Manufacturing,244,0.331,0.000650,
120,Transactions of FAMENA,64,0.317,0.000150,
121,International Journal of Acoustics and Vibration,111,0.283,0.000270,
122,MECHANICAL ENGINEERING,665,0.271,0.000560,
123,FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,176,0.250,0.000110,
124,ASHRAE JOURNAL,593,0.223,0.000410,
125,International Journal of Heavy Vehicle Systems,94,0.195,0.000110,
126,ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,50,0.188,0.000080,
127,Journal of the Chinese Society of Mechanical Engineers,100,0.130,0.000180,
128,Advances in Vibration Engineering,62,0.120,0.000070,
129,Journal of Vibration Engineering & Technologies,12,0.098,0.000000,
130,TRIBOLOGY & LUBRICATION TECHNOLOGY,66,0.082,0.000090,
131,SOUND AND VIBRATION,230,0.045,0.000170,
132,Science and Technology for the Built Environment,11,Not Available,0.000000,
Copyright © 2016 Thomson Reuters,,,,, 1 
