"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20ARTIFICIAL%20INTELLIGENCE' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"9,220",6.701,0.01352,
2,International Journal of Neural Systems,"1,235",6.085,0.00247,
3,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"31,757",6.077,0.0612,
4,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"7,999",5.908,0.00908,
5,INTEGRATED COMPUTER-AIDED ENGINEERING,533,4.981,0.00124,
6,IEEE Transactions on Cybernetics,"2,246",4.943,0.0102,
7,IEEE Transactions on Neural Networks and Learning Systems,"12,919",4.854,0.02245,
8,MEDICAL IMAGE ANALYSIS,"4,764",4.565,0.01069,
9,Information Fusion,"1,637",4.353,0.00336,
10,INTERNATIONAL JOURNAL OF COMPUTER VISION,"11,407",4.27,0.02091,
11,IEEE TRANSACTIONS ON IMAGE PROCESSING,"20,697",3.735,0.05133,
12,IEEE Computational Intelligence Magazine,634,3.647,0.00165,
13,EVOLUTIONARY COMPUTATION,"2,291",3.6,0.00279,
14,IEEE INTELLIGENT SYSTEMS,"1,882",3.532,0.0035,
15,PATTERN RECOGNITION,"17,442",3.399,0.02836,
16,ARTIFICIAL INTELLIGENCE,"6,641",3.333,0.009,
17,KNOWLEDGE-BASED SYSTEMS,"4,811",3.325,0.01326,
18,NEURAL NETWORKS,"6,902",3.216,0.00958,
19,EXPERT SYSTEMS WITH APPLICATIONS,"23,852",2.981,0.05491,
20,Swarm and Evolutionary Computation,740,2.963,0.00356,
21,APPLIED SOFT COMPUTING,"8,176",2.857,0.0238,
22,DATA MINING AND KNOWLEDGE DISCOVERY,"2,320",2.714,0.0037,
23,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,"2,796",2.696,0.00574,
24,SIAM Journal on Imaging Sciences,"2,209",2.687,0.01091,
25,DECISION SUPPORT SYSTEMS,"5,886",2.604,0.01187,
26,Swarm Intelligence,339,2.577,0.00054,
27,Fuzzy Optimization and Decision Making,608,2.569,0.00125,
28,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"6,465",2.476,0.01432,
29,JOURNAL OF MACHINE LEARNING RESEARCH,"10,109",2.45,0.0324,
30,ACM Transactions on Intelligent Systems and Technology,"2,142",2.414,0.01293,
31,NEUROCOMPUTING,"11,549",2.392,0.02453,
32,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"3,775",2.368,0.0087,
33,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"6,431",2.217,0.00708,
34,ARTIFICIAL INTELLIGENCE IN MEDICINE,"1,503",2.142,0.00264,
35,COMPUTER VISION AND IMAGE UNDERSTANDING,"3,819",2.134,0.00833,
36,JOURNAL OF AUTOMATED REASONING,700,2.113,0.00167,
37,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"1,890",2.05,0.00271,
38,COMPUTATIONAL LINGUISTICS,"1,610",2.017,0.00196,
39,ADVANCED ENGINEERING INFORMATICS,"1,237",2,0.00276,
40,JOURNAL OF INTELLIGENT MANUFACTURING,"2,217",1.995,0.00392,
41,Cognitive Computation,491,1.933,0.00125,
42,IEEE Transactions on Affective Computing,520,1.873,0.00279,
42,JOURNAL OF CHEMOMETRICS,"3,193",1.873,0.00289,
44,MECHATRONICS,"2,450",1.871,0.00552,
45,IEEE Transactions on Human-Machine Systems,239,1.8,0.00079,
46,Semantic Web,284,1.786,0.00127,
47,IMAGE AND VISION COMPUTING,"4,285",1.766,0.00852,
48,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,297,1.759,0.00158,
49,NEURAL PROCESSING LETTERS,934,1.747,0.00114,
50,ARTIFICIAL INTELLIGENCE REVIEW,"1,135",1.731,0.00259,
51,Frontiers in Neurorobotics,154,1.723,0.00078,
52,MACHINE LEARNING,"9,656",1.719,0.00608,
53,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,350,1.703,0.0006,
54,KNOWLEDGE AND INFORMATION SYSTEMS,"1,559",1.702,0.00493,
55,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,"2,536",1.659,0.00506,
56,SOFT COMPUTING,"2,517",1.63,0.00642,
57,NEURAL COMPUTATION,"7,931",1.626,0.00773,
58,ROBOTICS AND AUTONOMOUS SYSTEMS,"2,570",1.618,0.00563,
59,PATTERN RECOGNITION LETTERS,"7,671",1.586,0.01511,
60,Journal of Real-Time Image Processing,341,1.564,0.00086,
