"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20INTERDISCIPLINARY%20APPLICATIONS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"1,935",5.288,0.003670,
2,INTEGRATED COMPUTER-AIDED ENGINEERING,533,4.981,0.001240,
3,IEEE Transactions on Industrial Informatics,"3,779",4.708,0.016350,
4,MEDICAL IMAGE ANALYSIS,"4,764",4.565,0.010690,
5,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,941,4.214,0.003150,
6,ENVIRONMENTAL MODELLING & SOFTWARE,"8,255",4.207,0.017740,
7,Journal of Cheminformatics,"1,299",3.949,0.005610,
8,MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,"2,277",3.858,0.007500,
9,IEEE TRANSACTIONS ON MEDICAL IMAGING,"13,784",3.756,0.024430,
10,Journal of Chemical Information and Modeling,"13,322",3.657,0.024020,
11,COMPUTER PHYSICS COMMUNICATIONS,"14,445",3.635,0.032170,
12,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"6,622",3.428,0.016830,
13,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,"3,663",3.199,0.006010,
14,COMPUTERS & EDUCATION,"7,813",2.881,0.017460,
15,NEUROINFORMATICS,899,2.864,0.002740,
16,APPLIED SOFT COMPUTING,"8,176",2.857,0.023800,
17,COMPUTERS & CHEMICAL ENGINEERING,"9,274",2.581,0.011450,
18,JOURNAL OF COMPUTATIONAL PHYSICS,"36,234",2.556,0.054390,
19,COMPUTERS & GEOSCIENCES,"7,567",2.474,0.014800,
20,JOURNAL OF BIOMEDICAL INFORMATICS,"3,709",2.447,0.008090,
21,COMPUTERS & STRUCTURES,"10,168",2.425,0.013270,
22,Journal of Statistical Software,"6,868",2.379,0.031240,
23,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"2,355",2.331,0.007870,
24,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"3,896",2.208,0.009470,
25,Electronic Commerce Research and Applications,"1,122",2.139,0.002300,
26,IEEE Journal of Biomedical and Health Informatics,779,2.093,0.003170,
27,COMPUTERS & INDUSTRIAL ENGINEERING,"6,357",2.086,0.013190,
28,SCIENTOMETRICS,"6,436",2.084,0.009520,
29,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,"1,931",2.077,0.003740,
30,COMPUTATIONAL LINGUISTICS,"1,610",2.017,0.001960,
31,COMPUTATIONAL GEOSCIENCES,"1,064",1.992,0.004620,
32,COMPUTERS & OPERATIONS RESEARCH,"7,545",1.988,0.016530,
33,Astronomy and Computing,194,1.920,0.000540,
34,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,840,1.897,0.001070,
35,COMPUTERS AND ELECTRONICS IN AGRICULTURE,"4,142",1.892,0.007020,
36,COMPUTERS & FLUIDS,"6,121",1.891,0.019090,
37,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,"3,898",1.862,0.007960,
38,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,"1,541",1.855,0.003340,
39,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,"1,774",1.850,0.005270,
40,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,"4,283",1.797,0.005430,
41,Computer Supported Cooperative Work-The Journal of Collaborative Computing,414,1.784,0.000600,
42,COMPUTERS AND GEOTECHNICS,"3,067",1.705,0.007370,
43,Big Data,83,1.696,0.000550,
44,COMPUTERS IN INDUSTRY,"2,266",1.685,0.003100,
45,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,"5,809",1.674,0.003930,
46,ADVANCES IN ENGINEERING SOFTWARE,"2,318",1.673,0.005400,
47,SOFT COMPUTING,"2,517",1.630,0.006420,
48,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"1,686",1.609,0.005810,
49,Molecular Informatics,690,1.570,0.002660,
50,JOURNAL OF COMPUTATIONAL BIOLOGY,"2,764",1.537,0.007550,
51,SOCIAL SCIENCE COMPUTER REVIEW,968,1.525,0.002110,
52,Earth Science Informatics,147,1.524,0.000420,
53,COMPUTERS IN BIOLOGY AND MEDICINE,"2,755",1.521,0.005150,
54,SIMULATION MODELLING PRACTICE AND THEORY,"1,415",1.482,0.003510,
55,ENGINEERING WITH COMPUTERS,647,1.460,0.001520,
56,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,"5,193",1.447,0.011670,
57,JOURNAL OF MOLECULAR MODELING,"4,832",1.438,0.010230,
58,MATHEMATICAL AND COMPUTER MODELLING,"5,680",1.366,0.012970,
59,COMPUTING IN SCIENCE & ENGINEERING,"1,689",1.361,0.004700,
60,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,"1,141",1.319,0.001820,
61,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,"1,667",1.278,0.001770,
62,INFORMS JOURNAL ON COMPUTING,"1,262",1.246,0.003760,
63,Digital Investigation,501,1.211,0.000640,
64,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,"1,647",1.195,0.002540,
65,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,627,1.183,0.001350,
66,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,"3,261",1.181,0.006210,
67,JOURNAL OF HYDROINFORMATICS,984,1.180,0.002260,
68,COMPUTATIONAL STATISTICS & DATA ANALYSIS,"5,939",1.179,0.020680,
69,Journal of Simulation,260,1.164,0.001100,
70,Current Computer-Aided Drug Design,354,1.155,0.000640,
71,IEEE Transactions on Learning Technologies,329,1.129,0.001100,
72,MATHEMATICS AND COMPUTERS IN SIMULATION,"2,682",1.124,0.005230,
73,COMPUTERS & ELECTRICAL ENGINEERING,"1,172",1.084,0.003190,
74,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,639,1.081,0.002160,
75,JOURNAL OF COMBINATORIAL OPTIMIZATION,911,1.080,0.004400,
76,Journal of Computational Science,421,1.078,0.002230,
77,R Journal,271,1.045,0.002220,
78,SPEECH COMMUNICATION,"2,242",1.038,0.003390,
79,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,362,1.020,0.000350,
80,COMPUTATIONAL BIOLOGY AND CHEMISTRY,853,1.014,0.001680,
81,Language Resources and Evaluation,269,0.975,0.000690,
82,JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,216,0.944,0.000310,
83,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,631,0.935,0.000820,
84,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,450,0.877,0.000440,
85,QUEUEING SYSTEMS,"1,036",0.875,0.002520,
