"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20SOFTWARE%20ENGINEERING' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,ACM TRANSACTIONS ON GRAPHICS,"11,628",4.218,0.031270,
2,COMMUNICATIONS OF THE ACM,"12,458",3.301,0.019370,
3,SIAM Journal on Imaging Sciences,"2,209",2.687,0.010910,
4,IEEE TRANSACTIONS ON MULTIMEDIA,"3,302",2.536,0.011940,
5,IEEE Transactions on Services Computing,738,2.365,0.003320,
6,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"2,355",2.331,0.007870,
7,IEEE TRANSACTIONS ON RELIABILITY,"3,655",2.287,0.006190,
8,COMPUTER-AIDED DESIGN,"4,194",2.149,0.007530,
9,MATHEMATICAL PROGRAMMING,"7,041",2.062,0.016570,
10,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,"2,796",1.879,0.004670,
11,INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,"1,161",1.853,0.001390,
12,JOURNAL OF THE ACM,"5,341",1.803,0.008060,
13,IMAGE AND VISION COMPUTING,"4,285",1.766,0.008520,
14,ADVANCES IN ENGINEERING SOFTWARE,"2,318",1.673,0.005400,
15,IEEE Transactions on Dependable and Secure Computing,854,1.592,0.002960,
16,INFORMATION AND SOFTWARE TECHNOLOGY,"2,145",1.569,0.004290,
17,COMPUTER GRAPHICS FORUM,"4,104",1.542,0.022660,
18,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,383,1.539,0.001200,
19,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,"1,580",1.530,0.004270,
20,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"4,221",1.516,0.006090,
21,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,700,1.513,0.001840,
22,SIMULATION MODELLING PRACTICE AND THEORY,"1,415",1.482,0.003510,
23,JOURNAL OF MATHEMATICAL IMAGING AND VISION,"1,673",1.461,0.005400,
24,JOURNAL OF SYSTEMS AND SOFTWARE,"3,243",1.424,0.008390,
25,IEEE INTERNET COMPUTING,"1,562",1.400,0.004380,
25,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"4,146",1.400,0.017410,
27,EMPIRICAL SOFTWARE ENGINEERING,828,1.393,0.002450,
28,MATHEMATICAL AND COMPUTER MODELLING,"5,680",1.366,0.012970,
29,IEEE MULTIMEDIA,605,1.361,0.001970,
30,JOURNAL OF FUNCTIONAL PROGRAMMING,396,1.357,0.001280,
31,MULTIMEDIA TOOLS AND APPLICATIONS,"2,090",1.331,0.005470,
32,Automated Software Engineering,249,1.312,0.000930,
33,International Journal of Information Security,372,1.279,0.000980,
34,Journal of Web Semantics,815,1.277,0.002040,
35,COMPUTER STANDARDS & INTERFACES,986,1.268,0.001470,
36,International Journal of Web and Grid Services,138,1.229,0.000400,
37,IEEE COMPUTER GRAPHICS AND APPLICATIONS,"1,691",1.203,0.002360,
38,BIT NUMERICAL MATHEMATICS,"1,545",1.167,0.003620,
39,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,"1,099",1.148,0.001540,
40,MATHEMATICS AND COMPUTERS IN SIMULATION,"2,682",1.124,0.005230,
41,COMPUTERS & GRAPHICS-UK,"1,368",1.120,0.004310,
42,COMPUTER,"4,148",1.115,0.006220,
43,REQUIREMENTS ENGINEERING,375,1.105,0.000820,
44,COMPUTER AIDED GEOMETRIC DESIGN,"1,493",1.092,0.003270,
