"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING%2C%20ELECTRICAL%20%26%20ELECTRONIC' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,PROGRESS IN QUANTUM ELECTRONICS,913,6.923,0.001410,
2,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"9,220",6.701,0.013520,
3,IEEE SIGNAL PROCESSING MAGAZINE,"6,140",6.671,0.018620,
4,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"27,005",6.383,0.071060,
5,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"31,757",6.077,0.061200,
6,PROCEEDINGS OF THE IEEE,"21,036",5.629,0.039780,
7,IEEE Industrial Electronics Magazine,518,5.303,0.002640,
8,IEEE COMMUNICATIONS MAGAZINE,"9,568",5.125,0.040450,
9,IEEE TRANSACTIONS ON POWER ELECTRONICS,"20,855",4.953,0.047210,
10,IEEE Transactions on Neural Networks and Learning Systems,"12,919",4.854,0.022450,
11,IEEE WIRELESS COMMUNICATIONS,"3,136",4.148,0.015250,
12,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"4,858",3.851,0.012150,
13,IEEE TRANSACTIONS ON MEDICAL IMAGING,"13,784",3.756,0.024430,
14,IEEE TRANSACTIONS ON IMAGE PROCESSING,"20,697",3.735,0.051330,
15,IEEE Transactions on Sustainable Energy,"2,149",3.727,0.011690,
16,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"10,524",3.672,0.036470,
17,AUTOMATICA,"22,200",3.635,0.050940,
18,IEEE INTELLIGENT SYSTEMS,"1,882",3.532,0.003500,
19,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,"8,069",3.466,0.019340,
20,PATTERN RECOGNITION,"17,442",3.399,0.028360,
21,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"26,086",3.360,0.037590,
22,IEEE TRANSACTIONS ON POWER SYSTEMS,"19,415",3.342,0.035630,
23,IEEE JOURNAL OF SOLID-STATE CIRCUITS,"13,917",3.299,0.031730,
24,IEEE Transactions on Smart Grid,"4,753",3.190,0.029170,
25,IEEE Journal of Emerging and Selected Topics in Power Electronics,473,3.129,0.003040,
26,IEEE Circuits and Systems Magazine,550,3.000,0.001420,
27,EXPERT SYSTEMS WITH APPLICATIONS,"23,852",2.981,0.054910,
28,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,"14,067",2.925,0.058290,
29,IEEE NETWORK,"1,628",2.899,0.006150,
30,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,"6,922",2.818,0.017720,
31,IEEE Vehicular Technology Magazine,510,2.783,0.002490,
32,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,"28,452",2.777,0.048940,
33,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,"5,080",2.661,0.018270,
34,IEEE TRANSACTIONS ON SIGNAL PROCESSING,"22,917",2.624,0.062500,
35,IEEE TRANSACTIONS ON ENERGY CONVERSION,"6,773",2.596,0.010740,
36,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,"6,773",2.587,0.015030,
37,IEEE Journal of Selected Topics in Signal Processing,"2,763",2.569,0.016030,
38,JOURNAL OF LIGHTWAVE TECHNOLOGY,"15,215",2.567,0.030200,
39,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"4,163",2.534,0.011500,
40,IEEE ELECTRON DEVICE LETTERS,"11,112",2.528,0.030740,
41,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,"3,482",2.527,0.010520,
42,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"6,465",2.476,0.014320,
43,IEEE Transactions on Information Forensics and Security,"3,185",2.441,0.014370,
44,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,"8,329",2.393,0.027540,
45,IEEE TRANSACTIONS ON BROADCASTING,"1,615",2.381,0.004020,
46,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"3,775",2.368,0.008700,
47,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,"3,850",2.327,0.009560,
48,IEEE TRANSACTIONS ON COMMUNICATIONS,"11,115",2.298,0.035120,
48,IEEE Transactions on Terahertz Science and Technology,992,2.298,0.005390,
50,IEEE TRANSACTIONS ON RELIABILITY,"3,655",2.287,0.006190,
50,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,"8,847",2.287,0.012270,
52,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,"15,443",2.284,0.029820,
53,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,"3,325",2.264,0.005720,
54,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,"5,518",2.254,0.013250,
55,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,"10,280",2.243,0.035180,
56,IEEE Geoscience and Remote Sensing Letters,"5,572",2.228,0.016050,
57,IEEE TRANSACTIONS ON ELECTRON DEVICES,"16,773",2.207,0.031740,
58,SENSORS AND ACTUATORS A-PHYSICAL,"13,862",2.201,0.019120,
59,IEEE-ACM TRANSACTIONS ON NETWORKING,"5,069",2.186,0.015410,
60,IEEE Photonics Journal,"2,498",2.177,0.011470,
61,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"3,033",2.145,0.010930,
62,COMPUTER VISION AND IMAGE UNDERSTANDING,"3,819",2.134,0.008330,
63,IEEE Systems Journal,"1,076",2.114,0.004440,
64,COMPUTER COMMUNICATIONS,"3,307",2.099,0.007990,
65,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,"6,593",2.098,0.012870,
66,SIGNAL PROCESSING,"7,202",2.063,0.017040,
67,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,"20,883",2.053,0.043120,
68,IEEE TRANSACTIONS ON POWER DELIVERY,"11,832",2.032,0.020810,
69,IEEE Transactions on Biomedical Circuits and Systems,"1,307",2.018,0.006200,
70,IEEE MICROWAVE MAGAZINE,"1,102",1.975,0.004400,
71,IET Control Theory and Applications,"3,787",1.957,0.013510,
72,IEEE PHOTONICS TECHNOLOGY LETTERS,"13,515",1.945,0.027620,
73,JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,"5,775",1.939,0.008330,
74,Journal of Display Technology,"1,919",1.925,0.004930,
75,DISPLAYS,940,1.903,0.001160,
76,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,"10,468",1.901,0.017360,
77,IEEE SENSORS JOURNAL,"7,418",1.889,0.019340,
78,IEEE Transactions on Audio Speech and Language Processing,"3,264",1.877,0.011030,
79,MECHATRONICS,"2,450",1.871,0.005520,
80,Journal of Infrared Millimeter and Terahertz Waves,911,1.851,0.004020,
81,IEEE JOURNAL OF QUANTUM ELECTRONICS,"8,919",1.843,0.007350,
82,IEEE ELECTRICAL INSULATION MAGAZINE,987,1.836,0.001650,
82,IEEE PERVASIVE COMPUTING,"1,385",1.836,0.002410,
84,CONTROL ENGINEERING PRACTICE,"4,432",1.830,0.008800,
85,ELECTRIC POWER SYSTEMS RESEARCH,"5,397",1.809,0.010250,
86,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,"7,991",1.808,0.015320,
87,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,"6,575",1.798,0.008580,
88,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,"9,412",1.768,0.015300,
89,IMAGE AND VISION COMPUTING,"4,285",1.766,0.008520,
90,IEEE Antennas and Wireless Propagation Letters,"5,502",1.751,0.026090,
91,IEEE TRANSACTIONS ON INFORMATION THEORY,"27,366",1.737,0.054300,
92,IEEE TRANSACTIONS ON COMPUTERS,"6,258",1.723,0.011390,
93,IEEE TRANSACTIONS ON NANOTECHNOLOGY,"2,329",1.702,0.006600,
94,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,"7,903",1.672,0.010860,
95,IEEE SIGNAL PROCESSING LETTERS,"5,098",1.661,0.015750,
96,IEEE JOURNAL OF OCEANIC ENGINEERING,"2,421",1.648,0.002840,
97,JOURNAL OF CRYPTOLOGY,"1,056",1.617,0.001740,
98,OPTO-ELECTRONICS REVIEW,693,1.611,0.001310,
99,SIGNAL PROCESSING-IMAGE COMMUNICATION,"1,208",1.602,0.003260,
100,OPTICAL FIBER TECHNOLOGY,"1,154",1.600,0.002680,
101,IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,"4,383",1.599,0.014440,
102,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,404,1.578,0.003290,
103,IET Generation Transmission & Distribution,"2,220",1.576,0.007810,
104,Journal of Real-Time Image Processing,341,1.564,0.000860,
105,IET Renewable Power Generation,"1,334",1.562,0.003930,
106,IEEE Intelligent Transportation Systems Magazine,159,1.547,0.000780,
107,IEEE Journal of the Electron Devices Society,120,1.543,0.000500,
108,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"4,221",1.516,0.006090,
109,JOURNAL OF ELECTRONIC MATERIALS,"7,536",1.491,0.013150,
110,IEEE Power & Energy Magazine,"1,030",1.451,0.002840,
111,Computer Networks,"5,642",1.446,0.013420,
112,DIGITAL SIGNAL PROCESSING,"2,369",1.444,0.005160,
113,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,"1,350",1.437,0.003670,
114,MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,397,1.436,0.001040,
115,JOURNAL OF ELECTRONIC PACKAGING,956,1.402,0.001040,
116,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,"9,320",1.398,0.010290,
117,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,"1,012",1.368,0.002470,
118,IET Electric Power Applications,848,1.358,0.002750,
119,SOLID-STATE ELECTRONICS,"6,308",1.345,0.007370,
120,Journal of Micro-Nanolithography MEMS and MOEMS,759,1.335,0.001620,
121,MULTIMEDIA TOOLS AND APPLICATIONS,"2,090",1.331,0.005470,
122,IEEE TRANSACTIONS ON EDUCATION,"1,058",1.330,0.001480,
123,Progress in Electromagnetics Research-PIER,"3,139",1.315,0.011030,
124,IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,"5,738",1.306,0.006400,
125,IETE TECHNICAL REVIEW,346,1.304,0.000720,
126,OPTICAL AND QUANTUM ELECTRONICS,"1,408",1.290,0.001830,
127,JOURNAL OF ELECTROSTATICS,"2,741",1.286,0.002440,
128,IEEE TRANSACTIONS ON MAGNETICS,"19,640",1.277,0.028620,
128,MICROELECTRONIC ENGINEERING,"7,249",1.277,0.012820,
130,MACHINE VISION AND APPLICATIONS,"1,265",1.272,0.003610,
131,IEEE Access,257,1.270,0.002080,
132,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,"3,154",1.245,0.011060,
133,IEEE-ACM Transactions on Audio Speech and Language Processing,247,1.225,0.000970,
134,MICROELECTRONICS RELIABILITY,"4,680",1.202,0.010180,
135,BELL LABS TECHNICAL JOURNAL,380,1.200,0.001420,
136,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,"10,471",1.198,0.016010,
137,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,"3,261",1.181,0.006210,
138,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,942,1.179,0.001580,
139,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,"1,222",1.178,0.002750,
140,IEEE Transactions on Components Packaging and Manufacturing Technology,"3,825",1.151,0.008020,
